Price,Close,High,Low,Open,Volume
Ticker,IRFC.NS,IRFC.NS,IRFC.NS,IRFC.NS,IRFC.NS
Date,,,,,
2021-03-16,21.293066024780273,21.50989969775893,21.249699951908397,21.37979982483366,9649363
2021-03-17,20.946130752563477,21.33643199348154,20.902764683265694,21.293064269874254,14312130
2021-03-18,20.85940170288086,21.336436845177083,20.729301811094572,20.989503248977027,16168159
2021-03-19,20.772666931152344,20.902766806570757,20.38236565058744,20.816033004855257,15260549
2021-03-22,20.729297637939453,21.249698754629012,20.685931567510966,20.81603143310597,13817385
2021-03-23,20.642566680908203,20.90276810218271,20.59920060451734,20.729300487999705,13742805
2021-03-24,20.339000701904297,20.72930034974834,20.295632971492893,20.642566543235297,16788250
2021-03-25,19.905330657958984,20.42573011872665,19.86196293335532,20.3389979781384,19233029
2021-03-26,19.992067337036133,20.208901046350235,19.861967442309655,20.122168886072526,16323314
2021-03-30,19.905330657958984,20.208896458636943,19.86196293335532,20.078796593445027,14301425
2021-03-31,19.861967086791992,20.03543471286227,19.861967086791992,19.905334820464503,11770453
2021-04-01,19.818601608276367,20.122169135947765,19.68850171193432,19.948701504618413,18367745
2021-04-05,19.515033721923828,19.861967323896046,19.341566093782763,19.818601244015735,20106460
2021-04-06,19.081361770629883,19.515029083598744,18.994627977174208,19.515029083598744,25085603
2021-04-07,19.211463928222656,19.34156380679018,18.994630245840213,19.081364049655132,14507382
2021-04-08,19.038000106811523,19.384933706611733,18.994632372892813,19.168099999947863,18025782
2021-04-09,19.038000106811523,19.124732266029152,18.994632372892813,19.08136618642034,16396258
2021-04-12,18.083932876586914,18.951267770866288,18.04056513928693,18.951267770866288,25942981
2021-04-13,18.60433006286621,18.647696136343146,18.04056118180811,18.083928909594704,14831755
2021-04-15,18.300764083862305,18.51759777761823,18.127296467133643,18.474230046281168,18166238
2021-04-16,18.864532470703125,19.08136617726293,18.257397430611707,18.43086505758351,22174311
2021-04-19,18.344131469726562,18.517599098831983,18.127297760499747,18.387499204157876,10477070
2021-04-20,18.430862426757812,18.777795976870145,18.300762552254394,18.344128625652314,12199610
2021-04-22,18.257396697998047,18.474230395856978,18.214030620150194,18.344130508003584,8974995
2021-04-23,18.300764083862305,18.64769766300983,18.214030275497972,18.300764083862305,15602661
2021-04-26,18.21402931213379,18.51759679819796,18.170663237400213,18.300763115910655,12051423
2021-04-27,18.387496948242188,18.647696705667148,18.257395415219996,18.30076314433063,14181276
2021-04-28,18.344131469726562,18.517599098831983,18.300765389605168,18.47423136440067,14514238
2021-04-29,18.344131469726562,18.47423136440067,18.300765389605168,18.47423136440067,9521946
2021-04-30,18.474227905273438,18.560961703586052,18.214028164645207,18.25739423664671,11713860
2021-05-03,18.257396697998047,18.430864318009125,18.170664542302337,18.344130508003584,17512189
2021-05-04,18.170663833618164,18.344129792553968,18.127296103151888,18.344129792553968,26418223
2021-05-05,18.21402931213379,18.387496919687518,18.170663237400213,18.21402931213379,9381211
2021-05-06,18.300764083862305,18.34413016088957,18.214030275497972,18.300764083862305,7525053
2021-05-07,18.300764083862305,18.34413016088957,18.214030275497972,18.300764083862305,8322642
2021-05-10,19.55839729309082,19.68849882466373,18.30076294046682,18.344129014784663,51346170
2021-05-11,19.905330657958984,20.0354305231509,19.254829677689862,19.38492954288178,33120701
2021-05-12,20.29563331604004,20.642566893672132,19.948699738407946,19.948699738407946,34159626
2021-05-14,19.992067337036133,20.685936199427207,19.94870125689728,20.55583630470073,18230175
2021-05-17,19.992067337036133,20.339002595386628,19.94870125689728,20.078801151623757,13816130
2021-05-18,20.035432815551758,20.165532695629356,19.861965205908472,20.165532695629356,9997457
2021-05-19,20.035432815551758,20.42573245578455,19.99206508598607,20.035432815551758,19146895
2021-05-20,20.035432815551758,20.512466260606192,19.90533293547416,20.1221666203734,21995952
2021-05-21,20.252267837524414,20.29563391564344,20.07880021642864,20.122167948857502,14712804
2021-05-24,20.8160343170166,20.946134200636,20.555834549777803,20.6859344333972,32823856
2021-05-25,20.772666931152344,21.032866681989166,20.685933129436847,20.989500608286253,15738661
2021-05-26,20.68593406677246,20.90276775373169,20.64256633679477,20.90276775373169,10671045
2021-05-27,20.51246452331543,20.772665915742756,20.425730725839653,20.68593211826698,10133530
2021-05-28,20.339000701904297,20.59920046713366,20.20889916497985,20.512466660620618,10532654
2021-05-31,20.599201202392578,20.77266882161034,20.252267618266877,20.339001427875758,19396582
2021-06-01,20.469099044799805,20.729298790456514,20.382365244811023,20.642564990467733,11780039
2021-06-02,20.38236427307129,20.816031598030253,20.338998202299216,20.425730343843362,12961145
2021-06-03,20.469099044799805,20.555832844788586,20.425731317650595,20.469099044799805,10748652
