Date,Portfolio_Value,Rolling_Vol_30d,Drawdown_Pct,Risk_Regime
2021-05-05,1002214.4340034014,0.20785326851143113,-0.019407868427224386,Normal
2021-05-06,1018950.9542594033,0.19256060324184016,-0.0030324306804476397,Normal
2021-05-07,1024951.0364915206,0.1928726627752938,0.0,Normal
2021-05-10,1043017.6928351207,0.19483902855434562,0.0,Normal
2021-05-11,1040925.0088427187,0.19516771432157418,-0.0020063743949671003,Normal
2021-05-12,1029869.7893018902,0.1953288998651266,-0.012605638066878836,Normal
2021-05-13,1034183.9947845042,0.18386632634915587,-0.008469365487564136,Normal
2021-05-14,1027952.9994869536,0.18469203246909835,-0.01444337277464432,Normal
2021-05-17,1027086.4314883987,0.18462112612280132,-0.015274200482081775,Normal
2021-05-18,1031234.8445758277,0.17611694263000915,-0.011296882440474219,Normal
2021-05-19,1033125.7528705425,0.1720596514670878,-0.009483961808634403,Normal
2021-05-20,1033098.5449387289,0.17144645711013298,-0.009510047590304698,Normal
2021-05-21,1038492.4046323369,0.16963712640195275,-0.004338649510808581,Normal
2021-05-24,1052787.942348129,0.1727582106282001,0.0,Normal
2021-05-25,1058636.7221469525,0.17227259952906673,0.0,Normal
2021-05-26,1065982.4231244305,0.14799518494137268,0.0,Normal
2021-05-27,1070045.27357472,0.14351204907749082,0.0,Normal
2021-06-01,1066086.0933719436,0.1438417877132737,-0.003700011859825171,Normal
2021-06-02,1062951.3017137756,0.13949121870859266,-0.006629599733892877,Normal
2021-06-04,1069275.182519901,0.11628655442706086,-0.0007196808152295916,Normal
2021-06-07,1090524.5204003814,0.12271927440694942,0.0,Normal
2021-06-08,1092356.1386824697,0.1219933916671907,0.0,Normal
2021-06-09,1085284.5416315396,0.12481642275583978,-0.006473710176114769,Normal
2021-06-10,1097822.1637225416,0.12751833445837749,0.0,Normal
2021-06-11,1102810.7623912995,0.12684274517547148,0.0,Normal
2021-06-14,1111602.1675624049,0.12752400502468628,0.0,Normal
2021-06-16,1108378.6770808091,0.12790686367747237,-0.002899859838042981,Normal
2021-06-17,1114735.3016155008,0.1252748742414655,0.0,Normal
2021-06-18,1105304.971428184,0.12204547880426588,-0.008459703549039932,Normal
2021-06-22,1119967.138431685,0.12128665001734472,0.0,Normal
2021-06-23,1106895.6347378313,0.12898507232029705,-0.011671327885707482,Normal
2021-06-24,1120664.6516610652,0.12577087242697912,0.0,Normal
2021-06-28,1119436.1617180815,0.12609218951521528,-0.0010962154835193908,Normal
2021-06-29,1126263.970255728,0.11879324878267072,0.0,Normal
2021-07-01,1112978.570669561,0.1253423030921506,-0.01179599093732051,Normal
2021-07-06,1106653.7870324058,0.12166360721809369,-0.01741171141155266,Normal
2021-07-08,1102377.0485862973,0.1228703457732045,-0.021208990343540034,Normal
2021-07-09,1094755.43477778,0.12341348407840663,-0.027976155066732584,Normal
2021-07-13,1095474.8697792438,0.1231790694473735,-0.027337374975684735,Normal
2021-07-14,1115719.4446000382,0.13173181947779744,-0.009362392773068693,Normal
2021-07-15,1117235.0814506472,0.13176380363627077,-0.00801667197347245,Normal
2021-07-19,1112396.308615421,0.13310002953872635,-0.012312976359492698,Normal
2021-07-21,1116777.6205157451,0.13292277945699904,-0.00842284756550369,Normal
2021-07-22,1131706.188789526,0.13263848733832478,0.0,Normal
2021-07-23,1139020.3094186892,0.13284907873690252,0.0,Normal
2021-07-26,1132294.1261890242,0.13429352379176948,-0.005905235555543181,Normal
2021-07-28,1127200.344729856,0.13548528388674513,-0.010377308105125691,Normal
2021-07-29,1124743.510637261,0.13502439718702441,-0.012534279383231161,Normal
2021-07-30,1120943.4469466852,0.13516413229096677,-0.015870535689771623,Normal
2021-08-02,1131518.5911390097,0.13645468138110758,-0.006586114591326399,Normal
2021-08-03,1145996.7385995297,0.12989996076900007,0.0,Normal
2021-08-04,1143795.1557872947,0.1303127423009065,-0.0019211073976750108,Normal
2021-08-05,1150236.596606385,0.12854416756565445,0.0,Normal
2021-08-06,1149822.2599212835,0.1254453654950407,-0.0003602186596426727,Normal
2021-08-09,1149238.657613665,0.12525158985897972,-0.0008675945415614026,Normal
2021-08-10,1145530.5064668867,0.12434470336808906,-0.004091410544041902,Normal
2021-08-11,1145687.6526629275,0.12382582191420698,-0.003954789785752322,Normal
2021-08-12,1162449.335818769,0.12919143704925318,0.0,Normal
2021-08-13,1177872.6279671853,0.13004032696334644,0.0,Normal
