Trading_Day,P5_WorstCase,P25_LowerBand,P50_Median,P75_UpperBand,P95_BestCase
53,912763.8351437636,994615.8618853794,1057020.0816171146,1125830.3318828065,1227917.3863072335
54,911874.1213487091,994951.1076794792,1058265.8427436934,1127226.4296668852,1231909.2268914143
55,912416.8736082658,995519.4970342552,1059552.1484881658,1129203.402796971,1236351.681010039
56,912979.2254629795,997022.7288210193,1060695.614905484,1131269.1273851069,1238383.0073293294
57,911749.6259893766,997800.9789580222,1061728.5030590664,1132399.7929175969,1242270.741197581
58,910131.4927975276,998702.9330035081,1062893.5921962943,1134005.4848692045,1246241.518264737
59,910466.7222863154,998101.5178958025,1063721.729258472,1135532.3227903733,1249058.6744435448
60,910268.8346987875,999808.6760331125,1065277.1568566,1138046.2200419167,1250961.150703942
61,911248.2652840987,1000202.2382030932,1067224.2926084748,1139930.3354750318,1253535.0365607291
62,911038.8460964803,1000826.7205333733,1067799.374065632,1142302.62250658,1255166.5547583147
63,910394.5618995371,1000738.937382313,1069165.9924098598,1144669.2866771405,1259568.6079234374
64,909564.028567029,1001215.0862556372,1070925.1946769916,1145495.3730773975,1262078.515346798
65,909388.8057273946,1002126.7521395017,1071591.565303859,1147853.7834075703,1267770.9907408229
66,909114.3865588402,1001732.0948498077,1073241.9390270882,1149618.7644565024,1269623.0577165512
67,909777.719373711,1003326.4984492108,1074337.1210445138,1152038.787608352,1271962.6764008726
68,909761.4880324076,1003896.3315961625,1076296.6941784904,1153713.1589762457,1274643.040456338
69,909532.1072299036,1004332.7515332253,1076758.6570450417,1154984.8229514332,1277210.1168283876
70,907635.7780688801,1005410.9150533024,1077556.6835287446,1156462.8702896303,1281226.0587333313
71,909785.6806313109,1005769.4709684377,1078271.0958146942,1159311.9447955482,1284773.4881581848
72,909836.8944941225,1007027.0876795012,1079681.4027799317,1160626.8925573416,1287157.035016618
73,908674.5804244141,1006920.3989436403,1081465.9374076452,1162231.5299436157,1289412.0426340923
74,909323.7401751882,1007969.9147432342,1082548.1818770468,1164745.7082319334,1293518.2964973105
75,908770.886473613,1009374.5693949878,1083525.8707430023,1166459.76462553,1294908.8240475534
76,909026.5418229809,1009532.4534715067,1084917.9824683708,1168095.7522048098,1297877.9685913275
77,907478.30088755,1008838.1247298742,1085973.2211538132,1170210.031389168,1300925.1933259352
78,908118.4136981869,1011161.3784300002,1087889.1305524877,1170873.709646954,1303645.7067060992
79,907274.2944957385,1010661.3879742367,1088778.4994065645,1172576.3982879915,1307352.9540469823
80,908317.777470478,1011503.3516435518,1090138.5552821103,1174040.2868679892,1310239.896368962
81,908152.7313906761,1012506.5763639907,1090895.409617669,1175784.8339393775,1312392.224589352
82,908620.5122240408,1013231.2995800362,1092027.78932427,1177660.2513844043,1316943.3028533391
83,907794.0746100978,1014103.4745737681,1093191.1116218935,1179300.4476424793,1319007.7859485555
84,908270.690682259,1013828.667810845,1094747.5027208077,1180518.75261008,1319141.110728403
85,908325.0828917894,1015476.2846663081,1096365.2337520628,1184193.4531788132,1322670.9433703916
86,908609.8899245637,1015171.7574815848,1098014.9740571287,1185749.935980589,1326089.9247938613
87,909100.9715910861,1015993.7470870953,1099050.3008197763,1187241.0993034847,1329413.8501397087
88,908356.759070568,1017139.9291918457,1100897.0633858643,1189141.5859788181,1332998.727716782
89,907247.4979684002,1017431.2485730821,1101893.0498784739,1189579.7052145493,1335927.3879267473
90,906510.295832711,1018606.639284359,1103694.770803744,1191804.0545257963,1336490.5970573272
91,907367.1683212445,1019390.5162862721,1103523.4186109963,1194285.6787934613,1339051.5824186476
92,905375.9653761454,1020172.2616208512,1105573.2895518686,1195767.8662768437,1339065.116466209
93,906191.4286629697,1021417.9949711178,1106511.149019044,1196917.6317419263,1345047.8414763806
94,906565.0635158803,1021536.2824491758,1107504.7389639309,1197702.4193773232,1349436.8105307955
95,906753.4907099088,1021862.867293484,1109010.8589001466,1199738.1800500618,1351462.379347029
96,907351.6216559772,1021601.9396089722,1109181.2888346987,1201052.8433655484,1353992.6848068398
97,908112.0503117965,1022051.6883919074,1111279.9070729082,1203267.2692852425,1357470.7411083502
98,907596.4063755148,1022985.5933634056,1113076.233506103,1204781.1011626497,1361959.60628111
99,907758.9856069156,1023688.3572770397,1112427.6279362119,1206895.0662154804,1363426.5854585557
100,908157.9840399708,1024344.9594244177,1114106.7584522688,1208636.6595214235,1367322.1234623003
101,908627.5669496083,1024979.0714054166,1115800.0511868822,1211233.2402692533,1368867.7783945196
102,908459.9897336907,1025818.779769276,1116511.2645097107,1214138.8076828315,1371034.936286716
103,907475.1893687123,1027250.3730956786,1117667.9310973492,1215385.6424395842,1373969.6490872928
104,909058.7659296162,1027312.3538072071,1118032.4655116857,1217784.4401047002,1379226.9017939514
105,908830.4112669056,1027956.3706455203,1120439.6875260128,1218384.9856513771,1379898.4195815497
106,909817.2866338802,1028397.4870594668,1121689.2198065817,1220584.4056307585,1382684.106604691
107,909499.490066049,1029445.1346731943,1122563.5859714244,1222679.0365069602,1387195.1339750297
108,908622.272711237,1030108.1037616612,1123702.9184413943,1224748.566259286,1386598.3169736548
109,909080.5070830514,1031361.2343244427,1124783.9644505903,1226103.7435007216,1389411.9665358716
110,910325.9866150873,1031268.3450221736,1127590.689062463,1227325.3971306395,1393019.411715667
111,910874.5509377728,1032682.094814049,1128254.108814131,1229848.204686294,1397109.892947175
112,911804.5047108684,1034261.2019428491,1128814.8291941977,1231540.0569471666,1400241.4337343995
113,911894.0109171503,1035633.6715585084,1130834.2877696136,1234276.6988359601,1403979.0338492764
114,911522.4560220244,1036847.6548273256,1131223.0583723169,1235642.72699544,1406110.7404763356
115,910585.9051816663,1037183.9224845576,1132518.2340278428,1236870.4493134213,1409049.9279992534
116,912651.246584625,1037515.1530923716,1133537.5038576555,1239402.2317808464,1413358.3174684003
117,910939.3434448197,1038700.4489213525,1135485.2091783648,1240606.3824989316,1414002.3393613624
118,912338.9948317,1039522.3666427349,1137226.2287988826,1242905.9880190333,1415535.2201561693
119,911929.6984073294,1040470.327457148,1137600.464973471,1245838.270567981,1421054.3521095458
120,911969.3310504792,1039854.1900381409,1139016.879711832,1247932.4073280655,1423620.8414385084
