Expected_Return,Risk_Volatility,Sharpe_Ratio,Weight_Tech_stock_data,Weight_Healthcare_stock_data,Weight_Energy_stock_data,Weight_Crypto_stock_data,Portfolio_Type
0.15000726551810709,0.1993762854977633,0.6520698547148206,0.3371637451867494,0.03174842158145838,0.31840628823685596,0.3126815449949363,Simulated Portfolio
0.17921035151589534,0.19686969354905412,0.808709297229768,0.35505658516630184,0.07861368787999709,0.3147288346087982,0.2516008923449028,Simulated Portfolio
0.4253044916905241,0.23492410245669604,1.7252571679622977,0.39297857111723367,0.4663199055685988,0.054115944139517876,0.0865855791746497,Simulated Portfolio
0.3184935117575,0.21168065765915878,1.4101123600916075,0.13951387248322583,0.32107220934606323,0.0018620064647999427,0.5375519117059111,Simulated Portfolio
0.30614874804542547,0.19896298686075728,1.4382009064112233,0.33243444864985694,0.2714769856820849,0.05782680384203621,0.3382617618260221,Simulated Portfolio
0.1829322609724708,0.20150704759844562,0.8085685484170015,0.16260996060252655,0.13165161934600583,0.4118241862428975,0.29391423380857,Simulated Portfolio
0.3073683903084228,0.20012211095204818,1.4359652161438567,0.28524848832317845,0.2913080863099509,0.13384299514606554,0.28960043022080506,Simulated Portfolio
0.31729111760086703,0.21288898363282388,1.3964607868747876,0.18782669108277358,0.34584785727294853,0.2972405227610046,0.16908492888327337,Simulated Portfolio
0.27262644601409053,0.21892424193648866,1.153944596448022,0.13685805271199888,0.30031344741327676,0.484202707839839,0.07862579203488541,Simulated Portfolio
0.3467649242812528,0.21914256749194796,1.491106579707565,0.12196128546118784,0.3833402348333794,0.0860116429531211,0.4086868367523117,Simulated Portfolio
0.14466662712696693,0.21216258275058802,0.5875994980392998,0.21548735515606363,0.008048014986930155,0.015579432244019548,0.7608851976129868,Simulated Portfolio
0.2263794545951878,0.20276541996584577,1.0178237227528777,0.13596272784191413,0.17029286611942532,0.06847688547251234,0.6252675205661483,Simulated Portfolio
0.20917863176173287,0.19632968988276953,0.9635762776108564,0.26871349928348554,0.15196225776636635,0.36298779845828744,0.21633644449186085,Simulated Portfolio
0.23266791014858598,0.19440859050008294,1.09392239098866,0.38981546810751916,0.14744660647649027,0.17038615847709188,0.2923517669388987,Simulated Portfolio
0.25760869402740083,0.19603146848013836,1.2120946492398237,0.24299224645986836,0.22699584701966358,0.25131695229481565,0.2786949542256524,Simulated Portfolio
0.39468145621939654,0.22992443666512366,1.6295851874374974,0.31357808296038686,0.4459301384594081,0.20527828893460223,0.03521348964560278,Simulated Portfolio
0.21419515990335009,0.20878165833385268,0.9301351538880009,0.05656662169160814,0.19439771743156922,0.32394539881483947,0.4250902620619831,Simulated Portfolio
0.5440602320754452,0.2992494457081725,1.7512487979226123,0.17622471228250708,0.714783101152487,0.08393320396385054,0.025058982601155366,Simulated Portfolio
0.20849720355654267,0.19748180817962807,0.9545041403767528,0.4278446958662732,0.1015813018291962,0.1941874072358305,0.27638659506870006,Simulated Portfolio
0.39531928034422853,0.2474258002396819,1.5168962977209974,0.1488528331710278,0.49417202884995753,0.34855360664360313,0.008421531335411575,Simulated Portfolio
0.23373829897295917,0.19820044871374923,1.078394627055817,0.17426034631920734,0.20333664154960224,0.2944589528162913,0.327944059314899,Simulated Portfolio
0.23984925768227433,0.1943689564710262,1.1310924423008177,0.2979968181351677,0.18908191778320854,0.2745413111423967,0.23837995293922704,Simulated Portfolio
0.30294509189794966,0.2050429898067725,1.3799305802387596,0.194359281503701,0.31043092288054436,0.21929117952318392,0.2759186160925706,Simulated Portfolio
0.349813247273763,0.21937312562422212,1.5034350553892395,0.47644328913806344,0.3355418710855369,0.1787927894585099,0.009222050317889816,Simulated Portfolio
0.41667693070757966,0.26022569730637324,1.5243572591547612,0.08725176784989404,0.5400644707762908,0.32992329267546505,0.04276046869835011,Simulated Portfolio
0.14483336610456282,0.20544922182495498,0.607611773827609,0.42092023897222813,0.0090023138389214,0.3299679441170704,0.24010950307178006,Simulated Portfolio
0.2127919007134932,0.1935068867299464,0.996305113329372,0.32582634273509337,0.13667317422858585,0.27018165597489757,0.26731882706142324,Simulated Portfolio
0.384090887174777,0.2518295270433931,1.4457831512030754,0.0029552319124133515,0.49082899684010056,0.2626734786567842,0.24354229259070181,Simulated Portfolio
0.2653953051722708,0.19776229463473913,1.2408599203680781,0.2334618606525761,0.24351030147882385,0.26216176436135524,0.2608660735072448,Simulated Portfolio
0.3620290173111068,0.22746861990226372,1.5036316545907131,0.10632107945246609,0.4237161544501101,0.17821490786954247,0.2917478582278812,Simulated Portfolio
0.22871276926374548,0.19717872628212696,1.0584953721889623,0.4244988171149615,0.13942306630986068,0.21277146430733468,0.2233066522678433,Simulated Portfolio
0.13028918363508435,0.20372278106533093,0.5413689281991306,0.22450555633963457,0.005624255542290045,0.21544865416268089,0.5544215339553944,Simulated Portfolio
0.32435399513852997,0.22701001608105043,1.3407073414323052,0.03590985967727764,0.3793825260918826,0.24555600100451105,0.33915161322632875,Simulated Portfolio
0.3318227372603861,0.21838797492027553,1.4278384026145199,0.1195720210024475,0.3740076470990999,0.219538913258674,0.28688141863977856,Simulated Portfolio
0.31630625310052657,0.22847932677393662,1.296862422015536,0.014119380413294984,0.37132674324015685,0.26152169412079657,0.35303218222575167,Simulated Portfolio
0.2287414109049377,0.1927240086087175,1.0831105704569477,0.3379035868022907,0.1544523506639539,0.20681061916410193,0.30083344336965334,Simulated Portfolio
0.30542882311569053,0.21513874125715526,1.3267197783523217,0.19947273549078998,0.33356812348204223,0.3832106105302236,0.08374853049694421,Simulated Portfolio
0.1368161920095067,0.20134243707593272,0.5801866397666159,0.33224182645823996,0.009916199082452356,0.3193193026040147,0.33852267185529294,Simulated Portfolio
0.3207183458196848,0.21938949750451767,1.3707052946483564,0.14641144708632448,0.3643337044529821,0.33908250886876706,0.15017233959192652,Simulated Portfolio
