Date,Close,High,Low,Open,Volume,Returns
03-01-2020,150.2637177,151.5236535,149.7332214,149.9795335,21116200,-0.01245195
06-01-2020,150.6521454,150.7184647,148.2648974,148.8048762,20813700,0.002584974
08-01-2020,151.656311,152.328914,149.6290487,150.5574174,27746500,0.015928252
09-01-2020,153.5509491,153.6741052,152.5467932,153.3141193,21385000,0.012492972
10-01-2020,152.8404694,154.621434,152.6888948,154.2425121,20725900,-0.004626997
13-01-2020,154.678299,154.7067174,152.7647099,153.2383695,21626500,0.012024496
14-01-2020,153.5888824,154.981443,153.2004781,154.7824996,23477400,-0.007043111
15-01-2020,154.5835419,155.3035137,154.005691,154.0530454,21417900,0.006476116
17-01-2020,158.2970123,158.6475157,156.7149769,158.6001469,34371700,0.024022418
21-01-2020,157.728653,159.3296248,157.6623337,157.8991635,29517200,-0.003590462
22-01-2020,156.9707947,158.6665042,156.9518442,158.5812345,24138800,-0.004804823
23-01-2020,157.9370575,158.0128448,156.5634476,157.4349795,19680800,0.006155685
24-01-2020,156.3455353,158.704365,155.7866205,158.6854146,24918100,-0.01007694
29-01-2020,159.1875153,159.8601183,156.9613238,158.9980543,34754500,0.015592749
30-01-2020,163.6777954,164.8808947,161.7926252,164.8808947,51597500,0.028207489
03-02-2020,165.1935272,165.3072009,161.4231864,161.4516048,30107000,0.024379113
04-02-2020,170.6310883,171.1236982,167.0218053,167.8080818,36433300,0.032916308
05-02-2020,170.4226837,174.4961583,169.0111876,174.3351158,39186300,-0.001221375
06-02-2020,173.9562225,174.1362155,170.5742862,171.4363501,27751400,0.02073397
12-02-2020,174.9793091,176.0592522,172.269976,175.803472,47062900,0.001463843
13-02-2020,174.0320129,176.4192469,173.2362538,173.4351972,35295800,-0.005413761
14-02-2020,175.5855865,175.6424234,173.0278136,173.5962108,23149500,0.008926942
18-02-2020,177.3665771,177.8118183,175.7277189,175.8319246,27792200,0.010143148
19-02-2020,177.8984985,178.7534086,177.1290765,178.6394245,29997500,0.002998994
20-02-2020,175.1817474,177.8699845,172.0280655,177.5850096,36862400,-0.015271355
21-02-2020,169.6438141,174.3078589,168.3709427,173.994388,48572600,-0.031612502
24-02-2020,162.3295288,165.8061902,155.0532412,159.365825,68311100,-0.043115544
25-02-2020,159.6508331,166.0816913,159.2518595,165.4737516,68073300,-0.016501592
26-02-2020,161.6456299,164.5808383,159.7838208,161.2086809,56206100,0.012494747
27-02-2020,150.2562408,158.6629213,150.0662624,155.1387754,93174900,-0.070458998
28-02-2020,153.8943787,155.5092316,144.3858178,144.7752831,97012700,0.02421289
02-03-2020,164.1343689,164.2578614,154.1793509,157.029071,71030800,0.066539079
