Price,Close,High,Low,Open,Volume
06-05-2021,2735.203613,2755.026839,2702.282228,2729.973149,1791671
07-05-2021,2754.060059,2777.751354,2735.511664,2754.148052,1912540
10-05-2021,2765.136475,2781.57517,2747.115398,2765.532016,2137153
11-05-2021,2745.005615,2749.840538,2717.358475,2747.115314,2415625
12-05-2021,2714.238037,2742.720044,2699.293729,2742.720044,1978558
14-05-2021,2682.503418,2723.820036,2672.394033,2723.820036,2043935
17-05-2021,2698.546387,2703.337313,2668.877541,2685.580002,2890462
18-05-2021,2715.293457,2746.236929,2705.799381,2725.139078,2098538
19-05-2021,2709.315186,2740.961956,2696.217025,2711.073339,1986041
20-05-2021,2689.97583,2715.293293,2683.031207,2696.217363,2329027
21-05-2021,2707.996826,2714.765676,2685.668355,2690.854824,1685566
24-05-2021,2708.874756,2729.533058,2700.523528,2708.874756,1652260
25-05-2021,2750.836426,2763.42455,2722.656781,2731.402129,1841613
26-05-2021,2790.14624,2795.888191,2741.825562,2756.136226,1923753
27-05-2021,2809.13916,2842.486645,2793.06174,2793.19416,5959785
28-05-2021,2776.984131,2825.039755,2769.961111,2817.53105,1763701
31-05-2021,2790.720703,2800.614699,2763.733705,2782.637889,1652799
01-06-2021,2785.287598,2800.260794,2766.736681,2799.068365,1377441
02-06-2021,2764.484131,2790.985441,2751.719376,2783.388528,2240078
03-06-2021,2774.908203,2786.657161,2758.477303,2786.657161,1281706
04-06-2021,2777.116455,2788.68878,2760.553136,2763.203267,1836060
07-06-2021,2811.965088,2818.36957,2768.149726,2778.220136,2559821
08-06-2021,2826.938477,2854.19074,2815.498789,2825.039303,2574057
09-06-2021,2827.027344,2844.47404,2814.615853,2828.573254,1710925
10-06-2021,2841.647461,2848.007733,2820.623043,2835.640454,1874324
11-06-2021,2891.999512,2923.094337,2836.523396,2837.009296,3452954
14-06-2021,2894.25293,2922.830052,2888.952667,2896.593793,1847360
15-06-2021,2882.238037,2913.377073,2872.344259,2913.377073,1304985
16-06-2021,2892.485596,2910.462188,2873.62541,2881.664227,1635552
17-06-2021,2930.824707,2946.990553,2879.809674,2884.668248,2273413
18-06-2021,2912.759033,2966.379974,2893.059683,2960.107911,3380431
21-06-2021,2891.381592,2902.77707,2872.477193,2884.226151,1130569
22-06-2021,2916.204102,2939.039483,2901.893437,2918.6776,1708688
23-06-2021,2881.045654,2940.762026,2876.628769,2940.762026,1467104
24-06-2021,2980.160889,2988.464547,2896.151645,2901.010219,4155204
25-06-2021,2986.52124,3003.172769,2959.313183,2981.618454,2722861
28-06-2021,2947.608398,2995.973292,2944.295734,2995.973292,1355238
29-06-2021,2951.22998,2973.711881,2938.553435,2952.245778,1497322
30-06-2021,2955.55835,2987.580763,2949.153867,2955.779194,1693146
01-07-2021,2951.803955,2969.913182,2943.721143,2966.379674,990310
02-07-2021,2937.626709,2950.214834,2910.904548,2942.529496,1682274
05-07-2021,2933.694824,2980.513802,2916.910662,2952.24574,1972858
06-07-2021,2881.84082,2939.878646,2876.363926,2926.627991,2159420
07-07-2021,2893.015625,2899.861797,2863.55513,2893.059837,2640710
08-07-2021,2878.483887,2913.377277,2854.985973,2913.377277,2485811
09-07-2021,2834.006104,2899.243587,2827.690044,2870.975521,6365067
12-07-2021,2820.711426,2858.608216,2816.515385,2857.724839,1892226
13-07-2021,2815.808105,2839.173382,2804.721682,2839.173382,1809339
14-07-2021,2839.659668,2846.240784,2813.555834,2815.322588,2044279
15-07-2021,2835.58667,2861.172106,2827.663236,2857.409561,2232968
16-07-2021,2828.371826,2850.548755,2825.892929,2844.48433,1256526
19-07-2021,2819.341797,2832.798387,2811.728089,2815.269308,1597058
20-07-2021,2838.110352,2846.255113,2794.154836,2819.341932,1811945
22-07-2021,2847.450439,2855.063932,2824.122569,2824.122569,2859334
23-07-2021,2844.351807,2869.760013,2838.862744,2859.534699,1776193
26-07-2021,2830.806885,2854.444484,2824.875385,2832.975839,1259611
27-07-2021,2817.881592,2841.829136,2798.581899,2832.976086,1121367
28-07-2021,2831.027344,2836.914533,2773.128288,2822.351315,1660654
29-07-2021,2829.256836,2855.506034,2824.38766,2833.196399,1731997
30-07-2021,2804.158691,2853.780069,2799.643767,2849.796198,2999943
02-08-2021,2850.150391,2855.019567,2803.760502,2815.269465,2608669
03-08-2021,2908.137451,2912.652592,2849.751647,2858.649003,3804735
04-08-2021,2898.443848,2926.109625,2887.156211,2921.506083,2929598
05-08-2021,2907.296387,2934.785141,2888.306644,2899.372953,2534521
06-08-2021,2930.182373,2942.75366,2890.520668,2897.204764,2292362
09-08-2021,2941.602539,2954.262442,2930.35921,2942.664862,1510489
10-08-2021,2951.518066,2965.682946,2935.317159,2935.317159,2040777
11-08-2021,2960.636719,2974.62458,2945.498134,2965.771531,1929707
12-08-2021,2967.321289,2981.707497,2944.524683,2944.524683,1310205
13-08-2021,3066.164795,3080.860942,2972.411096,2975.288337,4363584
16-08-2021,3074.619141,3093.564792,3042.349825,3063.154487,2083489
17-08-2021,3145.532227,3152.393339,3065.810487,3082.719895,4336019
18-08-2021,3152.172119,3182.670827,3130.969112,3163.946716,2631309
20-08-2021,3151.242676,3164.964901,3098.567036,3103.878865,2836148
23-08-2021,3220.208008,3251.724949,3153.367487,3169.391592,3744176
24-08-2021,3198.783447,3246.722835,3182.139673,3237.559843,2511141
25-08-2021,3239.330322,3273.635884,3193.33878,3195.950386,2123263
26-08-2021,3250.706299,3264.649848,3229.503077,3240.215351,1902533
27-08-2021,3293.466797,3301.744484,3232.336669,3245.527625,3944728
30-08-2021,3276.77832,3311.349512,3264.649689,3288.906951,2033114
31-08-2021,3352.162842,3367.788604,3278.682532,3283.950053,3207480
01-09-2021,3288.862549,3378.942299,3281.82442,3360.616536,2643336
02-09-2021,3396.693359,3416.524101,3295.104629,3305.728287,3403717
03-09-2021,3401.38501,3414.531655,3368.186083,3386.290521,1746812
06-09-2021,3410.194824,3432.858718,3376.553235,3408.15858,1723693
07-09-2021,3378.234375,3426.085141,3371.46188,3420.817621,1585039
08-09-2021,3341.273193,3377.437983,3325.204997,3373.011458,4147175
09-09-2021,3356.544678,3371.860495,3333.172716,3355.039703,1441148
13-09-2021,3404.307129,3410.548355,3334.943407,3334.943407,1691473
14-09-2021,3440.206299,3449.590617,3386.291316,3408.37963,1991188
15-09-2021,3500.982666,3523.513633,3422.588871,3436.842367,2461369
16-09-2021,3455.610107,3525.062223,3445.694737,3479.247701,2946666
17-09-2021,3388.814209,3492.527584,3368.584907,3470.394963,6477148
20-09-2021,3384.963379,3427.015363,3371.108443,3372.126458,2002008
21-09-2021,3419.888184,3427.501891,3383.325052,3415.505968,1568129
22-09-2021,3419.180176,3449.900428,3410.592762,3419.490119,1744067
23-09-2021,3425.466064,3434.097787,3395.144371,3426.130043,2003869
24-09-2021,3427.280762,3491.996418,3412.850249,3443.835919,2320754
27-09-2021,3396.87085,3456.230591,3366.726172,3452.689371,1673362
28-09-2021,3345.699463,3408.423393,3320.999546,3408.423393,2253075
29-09-2021,3356.987305,3369.470189,3295.237293,3328.569149,2489161
30-09-2021,3342.512939,3368.585125,3319.981973,3368.585125,2252412
01-10-2021,3302.364014,3373.011382,3297.760472,3348.001521,1578374
04-10-2021,3340.520996,3349.683772,3282.223582,3297.583709,1356860
05-10-2021,3393.63916,3399.570659,3312.456748,3323.434442,1877966
06-10-2021,3373.80835,3415.019336,3359.732088,3396.029589,1678154
07-10-2021,3446.403076,3451.803522,3381.908749,3390.717489,1647233
08-10-2021,3484.25,3532.277789,3452.688968,3474.82159,2934339
11-10-2021,3262.879639,3326.532971,3240.215748,3324.319709,11845402
12-10-2021,3233.885254,3281.824415,3214.187225,3280.939111,5752877
13-10-2021,3235.966309,3253.893732,3226.936242,3231.362767,3545655
14-10-2021,3203.368896,3255.302997,3200.486135,3215.387838,6442299
18-10-2021,3235.035156,3239.95807,3194.499134,3196.273141,3590107
19-10-2021,3223.503418,3273.131433,3215.564781,3254.415574,3135441
20-10-2021,3201.062988,3219.823028,3173.964985,3203.856963,2933693
21-10-2021,3133.340088,3199.820962,3114.491262,3196.84963,4871211
22-10-2021,3103.491943,3159.151407,3091.20686,3157.732115,2691670
25-10-2021,3098.259521,3117.418888,3060.162756,3107.173952,2595594
26-10-2021,3089.078857,3130.235738,3082.337543,3099.634114,3878763
27-10-2021,3095.420654,3114.491231,3089.43338,3089.43338,2510813
28-10-2021,3035.016113,3120.479006,3029.117625,3120.479006,2424942
29-10-2021,3013.815918,3069.918885,3003.349234,3015.856069,3960501
01-11-2021,3083.579102,3092.981426,3027.298769,3049.473858,2020718
02-11-2021,3090.498047,3116.576084,3077.680888,3099.190726,3087414
03-11-2021,3097.638184,3122.163745,3074.398734,3108.237833,1537639
04-11-2021,3112.184814,3116.265117,3108.947338,3115.998973,328991
08-11-2021,3106.950928,3147.087829,3087.835963,3147.087829,2526082
09-11-2021,3109.568604,3135.557853,3100.964712,3111.608755,1782692
10-11-2021,3090.586426,3121.986264,3086.949625,3102.738331,1516489
11-11-2021,3094.046631,3113.427751,3047.745076,3086.773243,1284514
12-11-2021,3127.618896,3134.803495,3091.828217,3109.834432,1747259
15-11-2021,3151.789551,3166.247751,3129.348319,3129.348319,1809157
16-11-2021,3154.539551,3171.5258,3141.766785,3165.715883,2013204
17-11-2021,3123.937988,3160.26096,3110.189432,3149.395166,1632914
18-11-2021,3082.958008,3123.006346,3061.581353,3117.950252,2136598
22-11-2021,3067.612549,3118.659639,3051.557917,3085.352617,3167936
23-11-2021,3072.802002,3087.614918,3022.730696,3055.727184,2153461
24-11-2021,3054.218994,3098.347415,3037.099784,3079.853307,2161746
25-11-2021,3056.525635,3071.693483,3046.014772,3054.751628,1849619
26-11-2021,3057.368896,3095.643021,3026.367943,3037.987778,1941251
29-11-2021,3106.286133,3130.545764,3021.532908,3057.633906,2981745
30-11-2021,3130.368408,3161.058817,3096.52931,3096.52931,5588446
01-12-2021,3173.520996,3184.342395,3135.557205,3135.557205,2102118
02-12-2021,3231.264893,3235.788697,3170.239226,3183.632849,3152938
03-12-2021,3229.092285,3251.710877,3220.57718,3234.414307,2486263
06-12-2021,3136.799072,3244.658784,3124.026309,3229.091829,1849642
07-12-2021,3179.464111,3191.438659,3126.066543,3159.950034,1484458
08-12-2021,3217.073242,3234.414206,3194.099936,3194.099936,1428660
09-12-2021,3194.765137,3224.036255,3163.054759,3202.082916,1567957
10-12-2021,3225.854492,3230.466867,3171.126418,3179.907666,1510718
13-12-2021,3201.771973,3248.206691,3194.720338,3237.562649,1883864
14-12-2021,3214.323242,3224.257638,3172.545292,3197.647534,1747007
15-12-2021,3166.913574,3213.61423,3156.091956,3210.953219,1603233
16-12-2021,3176.891846,3200.70776,3166.602518,3177.24656,2072320
17-12-2021,3179.331055,3238.760289,3169.884338,3195.430081,4333992
20-12-2021,3154.982178,3198.53413,3113.51477,3183.455072,2312310
21-12-2021,3200.574219,3229.756542,3163.408649,3177.822453,2340989
22-12-2021,3220.487793,3225.854207,3198.756208,3214.50052,1224328
23-12-2021,3248.827637,3255.746307,3219.822666,3235.788729,1792861
24-12-2021,3256.101318,3286.348227,3232.950655,3268.608155,2209923
27-12-2021,3278.453857,3281.913085,3240.312705,3256.189982,1534135
28-12-2021,3287.722656,3304.087826,3276.457756,3290.782775,1456218
29-12-2021,3277.211914,3299.608753,3268.608023,3275.038799,1456923
30-12-2021,3311.849609,3317.393382,3264.173167,3265.370709,1966475
31-12-2021,3315.929688,3335.133227,3309.676269,3319.87681,1207141
03-01-2022,3386.35791,3397.223704,3321.8284,3326.263418,2346158
04-01-2022,3445.786865,3449.689594,3380.991216,3398.199214,2488606
05-01-2022,3424.67627,3432.703695,3381.612204,3428.268677,1733031
06-01-2022,3377.221924,3401.658917,3345.777688,3381.257834,1810293
07-01-2022,3418.068115,3428.179869,3367.420127,3388.353497,2460591
10-01-2022,3441.440918,3528.500233,3424.720814,3528.500233,3937092
11-01-2022,3473.416748,3481.488566,3420.285328,3420.285328,1906106
12-01-2022,3423.745117,3485.037153,3403.033713,3481.489138,3203744
13-01-2022,3457.451172,3479.715048,3421.172812,3475.28003,6684507
