Price,Close,High,Low,Open,Volume
16-03-2021,21.29306602,21.5098997,21.24969995,21.37979982,9649363
17-03-2021,20.94613075,21.33643199,20.90276468,21.29306427,14312130
18-03-2021,20.8594017,21.33643685,20.72930181,20.98950325,16168159
19-03-2021,20.77266693,20.90276681,20.38236565,20.816033,15260549
22-03-2021,20.72929764,21.24969875,20.68593157,20.81603143,13817385
23-03-2021,20.64256668,20.9027681,20.5992006,20.72930049,13742805
24-03-2021,20.3390007,20.72930035,20.29563297,20.64256654,16788250
25-03-2021,19.90533066,20.42573012,19.86196293,20.33899798,19233029
26-03-2021,19.99206734,20.20890105,19.86196744,20.12216889,16323314
30-03-2021,19.90533066,20.20889646,19.86196293,20.07879659,14301425
31-03-2021,19.86196709,20.03543471,19.86196709,19.90533482,11770453
01-04-2021,19.81860161,20.12216914,19.68850171,19.9487015,18367745
05-04-2021,19.51503372,19.86196732,19.34156609,19.81860124,20106460
06-04-2021,19.08136177,19.51502908,18.99462798,19.51502908,25085603
07-04-2021,19.21146393,19.34156381,18.99463025,19.08136405,14507382
08-04-2021,19.03800011,19.38493371,18.99463237,19.1681,18025782
09-04-2021,19.03800011,19.12473227,18.99463237,19.08136619,16396258
12-04-2021,18.08393288,18.95126777,18.04056514,18.95126777,25942981
13-04-2021,18.60433006,18.64769614,18.04056118,18.08392891,14831755
15-04-2021,18.30076408,18.51759778,18.12729647,18.47423005,18166238
16-04-2021,18.86453247,19.08136618,18.25739743,18.43086506,22174311
19-04-2021,18.34413147,18.5175991,18.12729776,18.3874992,10477070
20-04-2021,18.43086243,18.77779598,18.30076255,18.34412863,12199610
22-04-2021,18.2573967,18.4742304,18.21403062,18.34413051,8974995
23-04-2021,18.30076408,18.64769766,18.21403028,18.30076408,15602661
26-04-2021,18.21402931,18.5175968,18.17066324,18.30076312,12051423
27-04-2021,18.38749695,18.64769671,18.25739542,18.30076314,14181276
28-04-2021,18.34413147,18.5175991,18.30076539,18.47423136,14514238
29-04-2021,18.34413147,18.47423136,18.30076539,18.47423136,9521946
30-04-2021,18.47422791,18.5609617,18.21402816,18.25739424,11713860
03-05-2021,18.2573967,18.43086432,18.17066454,18.34413051,17512189
04-05-2021,18.17066383,18.34412979,18.1272961,18.34412979,26418223
05-05-2021,18.21402931,18.38749692,18.17066324,18.21402931,9381211
06-05-2021,18.30076408,18.34413016,18.21403028,18.30076408,7525053
07-05-2021,18.30076408,18.34413016,18.21403028,18.30076408,8322642
10-05-2021,19.55839729,19.68849882,18.30076294,18.34412901,51346170
11-05-2021,19.90533066,20.03543052,19.25482968,19.38492954,33120701
12-05-2021,20.29563332,20.64256689,19.94869974,19.94869974,34159626
14-05-2021,19.99206734,20.6859362,19.94870126,20.5558363,18230175
17-05-2021,19.99206734,20.3390026,19.94870126,20.07880115,13816130
18-05-2021,20.03543282,20.1655327,19.86196521,20.1655327,9997457
19-05-2021,20.03543282,20.42573246,19.99206509,20.03543282,19146895
20-05-2021,20.03543282,20.51246626,19.90533294,20.12216662,21995952
21-05-2021,20.25226784,20.29563392,20.07880022,20.12216795,14712804
24-05-2021,20.81603432,20.9461342,20.55583455,20.68593443,32823856
25-05-2021,20.77266693,21.03286668,20.68593313,20.98950061,15738661
26-05-2021,20.68593407,20.90276775,20.64256634,20.90276775,10671045
27-05-2021,20.51246452,20.77266592,20.42573073,20.68593212,10133530
28-05-2021,20.3390007,20.59920047,20.20889916,20.51246666,10532654
31-05-2021,20.5992012,20.77266882,20.25226762,20.33900143,19396582
01-06-2021,20.46909904,20.72929879,20.38236524,20.64256499,11780039
02-06-2021,20.38236427,20.8160316,20.3389982,20.42573034,12961145
03-06-2021,20.46909904,20.55583284,20.42573132,20.46909904,10748652
04-06-2021,20.55583382,20.7726675,20.33900013,20.42573228,21328589
07-06-2021,21.42316437,21.55326422,20.72929572,20.81602951,42832019
08-06-2021,21.46653366,21.68336733,21.16296619,21.64000126,25856634
09-06-2021,21.07623482,21.64000376,20.98950266,21.55326995,28032813
10-06-2021,21.24969864,21.42316623,21.07623105,21.24969864,17127778
11-06-2021,21.20633316,21.4665329,21.11959936,21.33643303,15835535
14-06-2021,21.42316437,21.5098965,20.98949709,21.42316437,18111116
15-06-2021,21.85684013,22.20377376,21.50990485,21.68337249,54064001
16-06-2021,21.6400032,22.11703667,21.5532694,21.94356905,27411596
17-06-2021,21.42316437,21.90019772,21.29306286,21.59663029,24326370
18-06-2021,21.29306602,21.8568349,20.98950021,21.6833673,78058672
21-06-2021,21.59663582,21.64000355,21.07623462,21.24970224,14319848
22-06-2021,21.6400032,21.94356905,21.59663547,21.8568369,19440926
23-06-2021,21.55326843,21.77010212,21.42316855,21.77010212,13104410
24-06-2021,21.42316437,21.68336407,21.37979665,21.63999801,8410959
25-06-2021,21.42316437,21.55326422,21.33643058,21.42316437,8120462
28-06-2021,21.46653366,21.77010113,21.42316759,21.68336733,14044388
29-06-2021,21.94356918,22.9410055,21.42316964,21.5966356,100006129
30-06-2021,21.55326843,22.0736696,21.33643475,22.03030187,34846415
01-07-2021,21.03286743,21.68336849,20.98950136,21.64000241,23822346
02-07-2021,21.11960411,21.33643783,21.03287029,21.20633793,14428073
05-07-2021,21.11960411,21.37980391,21.03287029,21.24970401,20315538
06-07-2021,20.8594017,21.24970303,20.59920192,21.11960314,17324102
07-07-2021,20.64256668,21.11960179,20.5124668,20.68593441,16098633
08-07-2021,20.64256668,20.98950191,20.55583453,20.68593441,14740358
09-07-2021,20.55583382,20.72929977,20.51246609,20.6859337,8652360
12-07-2021,20.68593407,20.81603395,20.51246646,20.77266787,13596595
13-07-2021,20.55583382,20.85939965,20.55583382,20.7726675,13753544
14-07-2021,20.38236427,20.68593173,20.3389982,20.64256401,15287631
15-07-2021,20.12216949,20.46910311,20.12216949,20.42573537,13068468
16-07-2021,20.20889854,20.42573223,20.16553247,20.25226627,16212009
19-07-2021,20.25226784,20.33900165,20.07880022,20.16553403,9181862
20-07-2021,20.16553497,20.3390026,20.12216889,20.25226879,7502994
22-07-2021,20.42573166,20.51246546,20.20889798,20.29563178,9446372
23-07-2021,20.20889854,20.46909996,20.16553247,20.46909996,6701681
26-07-2021,20.16553497,20.29563487,20.12216889,20.16553497,7567068
27-07-2021,20.03543282,20.2522665,19.94869901,20.1655327,8964578
28-07-2021,19.94869804,20.03543184,19.81859817,19.99206412,8776723
29-07-2021,19.81860161,20.03543532,19.81860161,19.9487015,6718597
30-07-2021,19.94869804,20.12216565,19.81859817,19.90533197,7024120
02-08-2021,20.20889854,20.64256591,20.03543259,20.07879867,18872464
03-08-2021,20.42573166,20.59919926,20.16553191,20.25226571,11062324
04-08-2021,20.46909904,20.55583284,20.1221655,20.51246512,15813294
05-08-2021,20.51246452,20.64256439,20.12216492,20.46909845,10469724
06-08-2021,20.42573166,20.46909939,20.20889798,20.38236559,8223906
09-08-2021,20.42573166,20.51246546,20.25226571,20.42573166,7670837
10-08-2021,19.99206734,20.42573476,19.94870126,20.42573476,7343285
11-08-2021,19.99206734,20.12216889,19.77523363,19.99206734,8655301
12-08-2021,20.77266693,20.90276681,19.99206437,20.07879817,13674855
13-08-2021,20.64256668,20.94613418,20.55583453,20.8160343,9734894
16-08-2021,20.5992012,21.0328686,20.51246739,21.0328686,9160653
17-08-2021,20.25226784,20.59920143,20.16553403,20.59920143,7973831
18-08-2021,20.3390007,20.72930035,20.03543321,20.2522669,7908641
20-08-2021,19.94869804,20.25226552,19.90533197,20.20889779,9048947
23-08-2021,19.73186493,20.20889836,19.55839732,20.07879849,9143940
24-08-2021,19.90533066,19.9920628,19.6017632,19.6017632,8233304
25-08-2021,19.99206734,20.16553497,19.94870126,19.94870126,3960870
26-08-2021,19.86196709,20.12216853,19.81860101,20.03543471,4388277
27-08-2021,19.81860161,19.9487015,19.73186779,19.81860161,6665003
30-08-2021,19.94869804,20.07879792,19.86196424,19.86196424,6514245
31-08-2021,19.90533066,20.25226418,19.81859686,19.94869673,12755814
01-09-2021,19.99206734,20.07880115,19.90533518,19.99206734,5746286
02-09-2021,19.94869804,20.07879792,19.90533197,20.03543184,4622547
03-09-2021,19.99206734,20.07880115,19.94870126,19.94870126,4485349
