Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
02-01-2020,152.1583862,152.2625919,149.9890319,150.4153226,22622100
03-01-2020,150.2637177,151.5236535,149.7332214,149.9795335,21116200
06-01-2020,150.6521454,150.7184647,148.2648974,148.8048762,20813700
07-01-2020,149.2785645,151.2584582,149.0322667,150.9269051,
08-01-2020,151.656311,152.328914,149.6290487,150.5574174,27746500
09-01-2020,153.5509491,153.6741052,152.5467932,153.3141193,21385000
10-01-2020,152.8404694,154.621434,152.6888948,154.2425121,20725900
13-01-2020,154.678299,154.7067174,152.7647099,153.2383695,21626500
14-01-2020,153.5888824,154.981443,153.2004781,154.7824996,23477400
15-01-2020,154.5835419,155.3035137,154.005691,154.0530454,21417900
16-01-2020,,157.4823502,155.3887684,155.6919174,23865400
17-01-2020,158.2970123,158.6475157,156.7149769,158.6001469,34371700
21-01-2020,157.728653,159.3296248,157.6623337,157.8991635,29517200
22-01-2020,156.9707947,158.6665042,156.9518442,158.5812345,24138800
23-01-2020,157.9370575,158.0128448,156.5634476,157.4349795,19680800
24-01-2020,156.3455353,158.704365,155.7866205,158.6854146,24918100
27-01-2020,153.730957,154.7730139,151.7605314,,32078100
28-01-2020,156.743454,,154.4793615,155.1519501,24899900
29-01-2020,159.1875153,159.8601183,156.9613238,158.9980543,34754500
30-01-2020,163.6777954,164.8808947,161.7926252,164.8808947,51597500
31-01-2020,161.2621002,163.3177806,,163.1378021,36142700
03-02-2020,165.1935272,165.3072009,161.4231864,161.4516048,30107000
04-02-2020,170.6310883,171.1236982,167.0218053,167.8080818,36433300
05-02-2020,170.4226837,174.4961583,169.0111876,174.3351158,39186300
06-02-2020,173.9562225,174.1362155,170.5742862,171.4363501,27751400
07-02-2020,174.2025146,175.8508551,,173.2173091,
10-02-2020,178.75914,178.8917641,,173.9088701,35844300
11-02-2020,174.7235413,,173.833059,180.6063849,53159900
12-02-2020,174.9793091,176.0592522,172.269976,175.803472,47062900
13-02-2020,174.0320129,176.4192469,173.2362538,173.4351972,35295800
14-02-2020,175.5855865,175.6424234,173.0278136,173.5962108,23149500
18-02-2020,177.3665771,177.8118183,175.7277189,175.8319246,27792200
19-02-2020,177.8984985,178.7534086,177.1290765,178.6394245,29997500
20-02-2020,175.1817474,177.8699845,172.0280655,177.5850096,36862400
21-02-2020,169.6438141,174.3078589,168.3709427,173.994388,48572600
24-02-2020,162.3295288,165.8061902,155.0532412,159.365825,68311100
25-02-2020,159.6508331,166.0816913,159.2518595,165.4737516,68073300
26-02-2020,161.6456299,164.5808383,159.7838208,161.2086809,56206100
27-02-2020,150.2562408,158.6629213,150.0662624,155.1387754,93174900
28-02-2020,153.8943787,155.5092316,144.3858178,144.7752831,97012700
02-03-2020,164.1343689,164.2578614,154.1793509,157.029071,71030800
03-03-2020,156.269104,166.2336278,154.1318145,165.093743,71677000
04-03-2020,162.006546,162.1490262,157.3234997,160.0497411,49814400
05-03-2020,157.9409485,162.3105094,157.390001,157.7319679,47817300
06-03-2020,153.4763947,154.9392442,148.1854087,154.464291,72821100
09-03-2020,143.0749054,149.847743,142.485968,143.4358745,70419300
10-03-2020,152.8589478,152.963438,144.9367313,150.2372111,65354400
11-03-2020,145.9341278,149.8002394,143.5783495,149.2588003,56371600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
12-03-2020,132.0940094,145.782167,131.6380583,138.0214318,93226400
13-03-2020,150.8736877,153.7994022,133.6803701,140.1112427,92727400
16-03-2020,128.6363373,141.8685424,,132.9869108,87905900
17-03-2020,139.227829,140.1112352,128.2374017,132.9869351,81059800
18-03-2020,133.3668823,138.6863651,128.2563946,131.0871123,81593200
19-03-2020,135.561142,142.6284331,132.036983,135.618134,85922700
20-03-2020,130.4697113,,129.0543449,138.6863997,84866200
23-03-2020,129.1683044,133.5283871,,130.1467072,78975200
24-03-2020,140.9091187,142.1060101,134.1932876,136.5490515,82516700
25-03-2020,139.560318,,137.204553,141.4506379,75638200
26-03-2020,148.2899323,148.8123838,140.9376493,140.9661454,64568100
27-03-2020,142.2010193,147.131037,,144.1483308,57042300
30-03-2020,152.2035217,152.554997,142.4954757,144.8037561,63420300
31-03-2020,149.8097839,156.5256164,148.7173826,151.415114,77927200
01-04-2020,144.4902954,149.8477681,143.2649223,145.3357117,57969900
02-04-2020,147.4824524,147.6914329,142.8279171,144.2527767,49630700
03-04-2020,,149.4962859,144.5662689,147.3305003,41243300
06-04-2020,156.9911041,158.1594855,149.6863184,152.2890683,67111700
07-04-2020,155.3002319,161.4841185,155.081743,161.0946534,62769000
08-04-2020,156.8580627,158.3209124,155.3097105,157.3710059,48318200
09-04-2020,156.8675842,158.985872,155.1482555,158.0264715,51385100
13-04-2020,157.2190552,157.2760618,154.1698627,156.1171744,41905300
14-04-2020,164.9987488,165.046247,159.5842849,160.5341913,52874300
15-04-2020,163.2699738,164.8753185,160.7622206,162.6240296,40940800
16-04-2020,168.1714172,168.3994,164.2388054,165.5686831,50479600
17-04-2020,169.6533051,170.9831683,,170.5082151,52765600
20-04-2020,166.2906342,,166.2241482,167.7819944,36669600
21-04-2020,159.4133148,164.9702591,157.7889683,164.8087767,56203700
22-04-2020,164.8278046,165.2837557,162.2630595,162.8044988,34620200
23-04-2020,162.832962,166.2906209,162.348515,165.3882127,
24-04-2020,165.8061981,165.815692,162.1585603,163.4409255,34277600
27-04-2020,165.3312378,168.0384628,164.6188079,167.7439941,33194400
28-04-2020,161.3036499,166.8701036,160.9046908,166.7941093,34392700
29-04-2020,168.5419159,168.7793925,163.269946,164.5428173,51286600
30-04-2020,170.2327576,171.3631342,167.4020256,170.9831774,53875900
01-05-2020,165.8251953,169.6913075,165.2932355,166.9935763,39370500
04-05-2020,169.8812714,170.0332599,165.0937491,,30372900
05-05-2020,,174.4503691,170.8882188,171.5721528,36839200
06-05-2020,173.3959503,174.9727988,172.5315463,172.9590014,32139300
07-05-2020,174.4028778,175.3052863,173.4339689,174.9443171,28316000
08-05-2020,175.4287567,175.7327338,174.1748874,175.7137316,30877800
11-05-2020,177.3855743,178.116992,173.690438,173.9753984,30892700
12-05-2020,173.3674469,177.6705226,173.1679746,177.4425543,32038200
13-05-2020,,174.8302823,167.6964757,173.4054227,44711500
14-05-2020,171.4866638,171.6386524,166.8796103,,41873900
15-05-2020,173.9848938,177.6895237,168.1334657,170.090271,46610400
18-05-2020,175.6472473,176.8726206,174.7448389,176.4451654,35264500
19-05-2020,174.4313965,177.2526209,174.2984101,175.7612603,26799100
20-05-2020,176.8508453,177.0318326,175.2124544,176.0411702,31261300
21-05-2020,174.7266388,177.8129131,174.5932821,176.6031677,29119500
22-05-2020,174.8028259,175.707762,173.8788493,174.4980168,20826900
26-05-2020,172.9549103,,172.5072096,177.4985738,36073600
27-05-2020,173.183548,173.355015,168.2207582,,39517100
28-05-2020,172.792984,175.4125029,171.8213911,172.1643105,33810200
29-05-2020,174.555191,175.5267984,171.8499463,174.0598598,42130400
01-06-2020,174.1551208,174.317053,172.850129,173.8788726,22622400
02-06-2020,176.1364136,176.2221398,172.7453304,175.5077257,30794600
